C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
1   ;* 61 Cyg B                         ;PM*;21 06 55.2638444466 +38 44 31.358519864;8.63     ;7.40     ;6.03     ;4.86     ;3.55     ;K7V                  ; 765;   0
2   ;* tau Cyg                          ;dS*;21 14 47.49252 +38 02 43.1441          ;4.140    ;4.120    ;3.730    ;3.38     ;3.14     ;F2IV                 ; 287;   0
3   ;* 61 Cyg A                         ;BY*;21 06 53.9395895022 +38 44 57.902349973;7.50     ;6.39     ;5.21     ;4.19     ;3.54     ;K5V                  ;1099;   0
4   ;* sig Cyg                          ;s*b;21 17 24.9522700076 +39 23 40.847039148;3.98     ;4.37     ;4.24     ;4.06     ;3.92     ;B9Iab                ; 272;   0
5   ;HD 214557                          ;PM*;22 38 11.6306594040 +45 49 40.090894932;     ~   ;7.55     ;     ~   ;6.7      ;     ~   ;F8                   ;  66;   0
6   ;* 11 Lac                           ;PM*;22 40 30.8584750462 +44 16 34.706857320;7.15     ;5.79     ;4.46     ;3.54     ;2.86     ;K2.5III              ; 148;   0
7   ;HD 218949                          ;PM*;23 11 38.7301136160 +47 05 55.315773132;8.130    ;7.900    ;     ~   ;6.8      ;     ~   ;G5                   ;  39;   0
8   ;HD 222143                          ;BY*;23 37 58.4879988924 +46 11 57.964746541;7.400    ;7.230    ;     ~   ;6.2      ;     ~   ;G2                   ; 135;   0
9   ;* lam And                          ;RS*;23 37 33.8427800830 +46 27 29.344721109;5.54     ;4.84     ;3.82     ;3.04     ;2.47     ;G8IVk                ; 693;   0
10  ;* 22 And                           ;*  ;00 10 19.2465004853 +46 04 20.175741831;5.69     ;5.44     ;5.04     ;4.62     ;4.33     ;F5II                 ; 111;   0
11  ;* 41 And                           ;PM*;01 08 00.8526611352 +43 56 31.525367820;     ~   ;     ~   ;     ~   ;4.9      ;     ~   ;A3m                  ;  80;   0
12  ;* ome And                          ;** ;01 27 39.3807155195 +45 24 24.065127426;5.25     ;5.25     ;4.83     ;4.42     ;4.19     ;F4IV                 ; 152;   0
13  ;HD 10307                           ;SB*;01 41 47.1268541099 +42 36 48.221567818;5.69     ;5.58     ;4.96     ;4.43     ;4.10     ;G1V                  ; 523;   0
14  ;* gam01 And                        ;*  ;02 03 53.95229 +42 19 47.0223          ;4.22     ;3.30     ;2.10     ;1.16     ;0.47     ;K2+IIb               ; 353;   0
15  ;HD 16176                           ;PM*;02 36 57.1893902395 +38 44 00.915326924;     ~   ;6.38     ;     ~   ;5.6      ;     ~   ;F5V                  ;  72;   0
16  ;* 16 Per                           ;dS*;02 50 35.0596652199 +38 19 07.114405802;     ~   ;4.57     ;     ~   ;4.0      ;     ~   ;F2III                ; 128;   0
17  ;HD 19308                           ;PM*;03 07 39.4035720525 +36 37 03.437647538;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;G0                   ;  97;   0
