C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
----;-----------------------------------;---;---------------------------------------;--------------------;----------;-----------;------------;-----------;---------;---------;---------;---------;---------;---------------------
1   ;* 61 Cyg B                         ;PM*;21 06 55.2638444466 +38 44 31.358519864;4105.976 3155.942   ;286.0054  ;-64.248    ;-0.000214   ;-64.24     ;8.63     ;7.40     ;6.03     ;4.86     ;3.55     ;K7V                  
2   ;* tau Cyg                          ;dS*;21 14 47.49252 +38 02 43.1441          ;  196.99 410.28     ;49.16     ;-20.90     ;-0.000070   ;-20.90     ;4.140    ;4.120    ;3.730    ;3.38     ;3.14     ;F2IV                 
3   ;* 61 Cyg A                         ;BY*;21 06 53.9395895022 +38 44 57.902349973;4164.209 3249.614   ;285.9949  ;-65.82     ;-0.000220   ;-65.81     ;7.50     ;6.39     ;5.21     ;4.19     ;3.54     ;K5V                  
4   ;* sig Cyg                          ;s*b;21 17 24.9522700076 +39 23 40.847039148;   0.195 -3.609     ;1.1711    ;-6.23      ;-0.000021   ;-6.23      ;3.98     ;4.37     ;4.24     ;4.06     ;3.92     ;B9Iab                
5   ;HD 214557                          ;PM*;22 38 11.6306594040 +45 49 40.090894932;-100.642 -174.199   ;19.4816   ;-38.524    ;-0.000128   ;-38.52     ;     ~   ;7.55     ;     ~   ;6.7      ;     ~   ;F8                   
6   ;* 11 Lac                           ;PM*;22 40 30.8584750462 +44 16 34.706857320;  93.728 10.946     ;9.3170    ;-10.4331   ;-0.000035   ;-10.43     ;7.15     ;5.79     ;4.46     ;3.54     ;2.86     ;K2.5III              
7   ;HD 218949                          ;PM*;23 11 38.7301136160 +47 05 55.315773132;-249.530 -163.981   ;22.2173   ;-10.260    ;-0.000034   ;-10.26     ;8.130    ;7.900    ;     ~   ;6.8      ;     ~   ;G5                   
8   ;HD 222143                          ;BY*;23 37 58.4879988924 +46 11 57.964746541;357.163 -11.729     ;43.8426   ;-0.199     ;-0.000001   ;-0.20      ;7.400    ;7.230    ;     ~   ;6.2      ;     ~   ;G2                   
9   ;* lam And                          ;RS*;23 37 33.8427800830 +46 27 29.344721109;159.606 -421.822    ;38.5736   ;6.84       ;0.000023    ;6.84       ;5.54     ;4.84     ;3.82     ;3.04     ;2.47     ;G8IVk                
10  ;* 22 And                           ;*  ;00 10 19.2465004853 +46 04 20.175741831;   5.481 -0.237     ;2.1782    ;-5.4       ;-0.000018   ;-5.40      ;5.69     ;5.44     ;5.04     ;4.62     ;4.33     ;F5II                 
11  ;* 41 And                           ;PM*;01 08 00.8526611352 +43 56 31.525367820;159.581 -60.487     ;16.4320   ;2.08       ;0.000007    ;2.08       ;     ~   ;     ~   ;     ~   ;4.9      ;     ~   ;A3m                  
12  ;* ome And                          ;** ;01 27 39.3807155195 +45 24 24.065127426;357.564 -110.039    ;34.7332   ;14.10      ;0.000047    ;14.10      ;5.25     ;5.25     ;4.83     ;4.42     ;4.19     ;F4IV                 
13  ;HD 10307                           ;SB*;01 41 47.1268541099 +42 36 48.221567818;824.761 -156.423    ;68.0244   ;3.33       ;0.000011    ;3.33       ;5.69     ;5.58     ;4.96     ;4.43     ;4.10     ;G1V                  
14  ;* gam01 And                        ;*  ;02 03 53.95229 +42 19 47.0223          ;   42.32 -49.30     ;8.30      ;-11.50     ;-0.000038   ;-11.50     ;4.22     ;3.30     ;2.10     ;1.16     ;0.47     ;K2+IIb               
15  ;HD 16176                           ;PM*;02 36 57.1893902395 +38 44 00.915326924;141.887 -168.922    ;18.3499   ;-1.02      ;-0.000003   ;-1.02      ;     ~   ;6.38     ;     ~   ;5.6      ;     ~   ;F5V                  
